Model,Primary,Middle,High,College,Average,link,opensourced,mathLM
GPT-3.5-Turbo-0125,70.1,56.7,47.3,52.5,56.7,https://openai.com/research/gpt-4,FALSE,FALSE
GLM4,88.6,79.5,63.7,60.6,73.1,https://zhipuai.cn/devday,FALSE,FALSE
GPT-4-0125-Preview,87.2,81.0,72.0,73.3,78.4,https://openai.com/research/gpt-4,FALSE,FALSE
Claude-3-Opus,86.0,79.0,72.6,77.4,78.7,https://docs.anthropic.com/claude/docs/models-overview,FALSE,FALSE
DeepSeek-V2-API,88.9,83.7,70.3,76.3,79.8,https://github.com/deepseek-ai/DeepSeek-LLM,FALSE,FALSE
Qwen-Max-0428,90.4,83.2,73.4,74.8,80.4,https://help.aliyun.com/zh/dashscope/developer-reference/model-introduction?spm=a2c4g.11186623.0.0.1e07f97e95MZ8r,FALSE,FALSE
GPT-4o-2024-05-13,92.2,88.3,82.0,85.6,87.0,https://openai.com/research/gpt-4,FALSE,FALSE
DeepSeek-7B-Chat,33.3,26.0,14.4,13.6,21.8,https://github.com/deepseek-ai/DeepSeek-LLM,TRUE,FALSE
ChatGLM3-6B,41.6,32.4,20.2,12.0,26.6,https://github.com/THUDM/ChatGLM3,TRUE,FALSE
Yi-6B-Chat,48.0,33.5,21.8,23.9,31.8,https://github.com/01-ai/Yi,TRUE,FALSE
Qwen-7B-Chat,53.1,43.5,32.9,31.2,40.2,https://github.com/QwenLM/Qwen,TRUE,FALSE
Llama-3-8B-Instruct,60.2,51.3,43.5,53.6,52.1,https://github.com/facebookresearch/llama,TRUE,FALSE
InternLM2-Chat-7B,67.3,55.8,45.4,42.7,52.8,https://github.com/InternLM/InternLM,TRUE,FALSE
Baichuan2-13B-Chat,45.4,36.9,24.1,21.0,31.9,https://github.com/baichuan-inc/Baichuan2,TRUE,FALSE
InternLM2-Chat-20B,64.5,56.2,49.9,43.2,53.4,https://github.com/InternLM/InternLM,TRUE,FALSE
Yi-34B-Chat,70.9,57.0,43.6,46.8,54.6,https://github.com/01-ai/Yi,TRUE,FALSE
Qwen-14B-Chat,71.6,64.0,49.7,49.4,58.7,https://github.com/QwenLM/Qwen,TRUE,FALSE
DeepSeek-67B-Chat,78.1,65.7,55.6,64.6,66.0,https://github.com/deepseek-ai/DeepSeek-LLM,TRUE,FALSE
Llama-3-70B-Instruct,71.4,64.3,62.1,71.2,67.2,https://github.com/facebookresearch/llama,TRUE,FALSE
Qwen-72B-Chat,90.9,80.9,67.1,69.8,77.2,https://github.com/QwenLM/Qwen,TRUE,FALSE
Qwen1_5-110B-Chat,93.4,85.0,76.5,81.5,84.1,https://github.com/QwenLM/Qwen,TRUE,FALSE
MammoTH-7B,11.6,9.1,8.4,6.3,8.8,https://github.com/metamath/metamath-llm,TRUE,TRUE
MammoTH-13B,27.5,18.6,15.0,17.1,19.5,https://github.com/metamath/metamath-llm,TRUE,TRUE
MetaMath-Llemma-7B,36.6,33.5,28.8,25.9,31.2,https://github.com/metamath/metamath-llm,TRUE,TRUE
MammoTH-70B,58.1,47.1,39.3,44.6,47.3,https://github.com/metamath/metamath-llm,TRUE,TRUE
InternLM2-Chat-Math-7B,65.6,60.2,51.7,46.5,56.0,https://github.com/InternLM/InternLM-Math,TRUE,TRUE
DeepSeek-Math-7B-Instruct,73.3,58.4,49.3,50.3,57.8,https://github.com/deepseek-ai/DeepSeek-Math,TRUE,TRUE
InternLM2-Chat-Math-20B,73.2,70.5,60.6,53.0,64.3,https://github.com/InternLM/InternLM-Math,TRUE,TRUE
DeepSeek-Math-7B-RL,79.6,72.0,61.3,68.7,70.4,https://github.com/deepseek-ai/DeepSeek-Math,TRUE,TRUE
